id,opis,oczekiwane,kategoria_modelu,wyjasnienie_modelu
1,"Pacjent zgłasza nagły, silny ból w klatce piersiowej promieniujący do lewej ręki, duszność, zimne poty i nudności.",PILNE,PILNE,Pacjent może mieć objawy zawału serca lub ostrą niewydolność oddechową.
2,"Nagłe osłabienie prawej strony ciała, opadanie kącika ust, problemy z mową, objawy pojawiły się godzinę temu.",PILNE,PILNE,"Obserwowane objawy mogą wskazywać na poważne schorzenie, takie jak zawał lub udar."
3,"Silny ból głowy o nagłym początku, najsilniejszy w życiu, sztywność karku i nudności.",PILNE,PILNE,Objawy sugerują możliwość udaru mózgu lub innego ciężkiego stanu medycznego.
4,"Pacjent po urazie głowy, chwilowa utrata przytomności, dezorientacja i wymioty.",PILNE,PILNE,"Stan pacjenta sugeruje ewentualną poważną uszkodzenie mózgu lub uraz głowy, który może być zagrażający jego życiu."
5,"Wysoka gorączka powyżej 39 stopni, dreszcze, przyspieszony oddech i spadek ciśnienia.",PILNE,PILNE,"Powyższy opis sugeruje możliwość infekcji wyższego zakaźnika, np. grypy lub innej groźniejszej choroby."
6,"Nagła duszność, świszczący oddech, obrzęk warg i języka po użądleniu owada.",PILNE,PILNE,"Objawy sugerują udar ostry uduśniaczowy spowodowany użądleniem owada, wymagają natychmiastowej pomocy lekarskiej."
7,"Silny ból brzucha z twardością powłok, nasilający się przy dotyku, gorączka.",PILNE,DO LEKARZA,Pacjent ma objawy sugerujące infekcję lub ostrą zapalenie wyrostka robaczkowego.
8,"Obfite krwawienie z przewodu pokarmowego, czarne stolce i osłabienie.",PILNE,PILNE,"Stan pacjenta może wskazywać na zakrzepicę krwi lub uszkodzenie śluzówki przewodu pokarmowego, co wymaga niezwłocznego podjęcia interwencyjnych kroków."
9,"Pacjent z cukrzycą, splątany, zimna skóra, drżenie rąk, bardzo niskie stężenie glukozy.",PILNE,DO LEKARZA,"Niska glukoza i drżenia mogą wskazywać na niedokładną kontrolę cukrzycy, ale stan pacjenta nie jest pilny."
10,"Nagły spadek widzenia w jednym oku, bez bólu, objawy od kilkunastu minut.",PILNE,PILNE,Zagrożenie dla wzroku - konieczna szybka konsultacja ze specjalistą
11,"Silny ból w klatce piersiowej nasilający się przy oddychaniu, kaszel z krwią.",PILNE,PILNE,"Objawy sugerują poważną chorobę płuca lub inny poważny problem zdrowotny, który wymaga niezwłocznej interwencji medycznej."
12,"Ostry ból brzucha po prawej stronie, gorączka, nudności, brak apetytu.",PILNE,DO LEKARZA,Pacjent doświadcza objawów ostrzejszego zatrucia pokarmowego lub mogą one być przełomem infekcji układu moczowo-płciowego.
13,"Nagłe kołatanie serca, zawroty głowy, uczucie omdlewania.",PILNE,PILNE,Ostrzeżenie: możliwe zagrożenie życia lub stan nagły. Pacjent powinien być natychmiast sprawdzony przez lekarza w miejscu pracy lub transportowany do najbliższej kardiologicznej placówki.
14,"Uraz komunikacyjny, ból kręgosłupa, drętwienie kończyn dolnych.",PILNE,DO LEKARZA,"Pacjent ma objawy związane z urazem oraz odczuwa ból i drętwienie, co może wskazywać na powikłania lub konieczność dalszego badania."
15,"Wysoka gorączka u dziecka, sztywność karku, nadwrażliwość na światło.",PILNE,DO LEKARZA,"Objawy mogą wskazywać na infekcję podniebienia lub gardła, która wymaga diagnostyki i odpowiedniej terapii."
16,"Nagła utrata przytomności u osoby starszej, brak kontaktu przez kilka minut.",PILNE,PILNE,Prawdopodobieństwo udaru lub innego poważnego schorzenia wymagającego natychmiastowej interwencji.
17,"Silna reakcja alergiczna po leku, pokrzywka, duszność, spadek ciśnienia.",PILNE,PILNE,Stan jest poważny i może mieć następstwa dla życia pacjenta. Należy zapewnić niezwłoczną opiekę medyczną.
18,"Ostry ból jądra, nagły początek, nudności.",PILNE,DO LEKARZA,"Ból jądra może być objawem różnych schorzeń, w tym ciężkiego zapalenia jajnika u kobiet lub zespołu Orchi-Alborga u mężczyzn. Należy skonsultować się lekarzem, aby wykluczyć poważniejsze przyczyny i zidentyfikować odpowiednie podejście."
19,Pacjent zgłasza silny ból w klatce piersiowej połączony z dusznością i kaszlem.,PILNE,DO LEKARZA,"Ból w klatce piersiowej, duszność i kaszel mogą być objawami powikłań choroby układu oddechowego lub innego poważnego schorzenia. Niezbędna jest wizyta u lekarza do oceny."
20,Nagłe pogorszenie stanu chorego onkologicznego z dusznością i bólem.,PILNE,PILNE,"Stan pacjenta pogarsza się nieoczekiwanie, co może sygnalizować powikłania onkologiczne wymagające natychmiastowej interwencji medycznej."
21,Drgawki u osoby dorosłej bez wcześniejszej padaczki.,PILNE,PILNE,"Stan nagły, który może być objawem poważnego schorzenia lub nawet udaru. Konieczne jest sprawdzenie czy nie ma innych symptomów powodujących drgawkę."
22,Nagły silny ból pleców z osłabieniem nóg i zaburzeniem czucia.,PILNE,DO LEKARZA,"Objawy sugerują możliwe ostry porażenie rdzenia kręgowego lub inne poważne schorzenie, które wymagają niezwłocznego badania i rozpoznania przez lekarza specjalistę."
23,"Ostra duszność nocna, pienista wydzielina z ust.",PILNE,DO LEKARZA,Pacjent doświadcza ostrej duszności i ma podejrzenie zapalenia gardła.
24,Zatrzymanie oddawania moczu z silnym bólem podbrzusza.,PILNE,DO LEKARZA,"Pacjent doświadcza poważnego problemu zdrowotnego, który wymaga rozpoznania i leczenia od specjalisty."
25,Ciężkie odwodnienie z zaburzeniami świadomości.,PILNE,PILNE,"Stan pacjenta może szybko zmienić się na gorsze, wymaga natychmiastowej pomocy medycznej."
26,"Gorączka około 38 stopni utrzymująca się od 3 dni, kaszel, osłabienie.",DO LEKARZA,DO LEKARZA,"Pacjent ma objawy mogące sugerować infekcję dróg oddechowych lub przeziębienie, ale wymaga wizyty lekarskiej z uwagi na trwającą gorączkę i osłabienie."
27,"Ból brzucha trwający kilka dni, okresowe nudności, brak poprawy.",DO LEKARZA,DO LEKARZA,"Objawy są przewlekłe i nie poprawiają się samoczynnie, co może wskazywać na bardziej poważną chorobę wymagającą diagnostyki i terapii."
28,"Ból ucha, pogorszenie słuchu, stan podgorączkowy.",DO LEKARZA,DO LEKARZA,"Pacjent ma objawy bólu ucha i pogarszającego się słuchu, co może wskazywać na infekcję w obrębie ucha środkowego lub zakażenie górnych dróg oddechowych. Stany te wymagają konsultacji lekarskiej dla prawidłowej diagnostyki i postępowania."
29,"Nawracające bóle głowy, nasilające się przy stresie.",DO LEKARZA,DO LEKARZA,"Pacjent doświadcza nawrotów bólu głowy związanych ze stresem, co może być sygnałem dla bardziej szczegółowej diagnostyki."
30,"Kaszel z odkrztuszaniem wydzieliny, gorączka, ból w klatce piersiowej przy kaszlu.",DO LEKARZA,DO LEKARZA,"Pacjent może mieć infekcję górnych dróg oddechowych lub zapalenie płuc, wymaga badania i ewentualnego leczenia."
31,"Ból w dolnej części pleców promieniujący do nogi, utrzymujący się od tygodnia.",DO LEKARZA,DO LEKARZA,Stan ten wymaga oceny i ewentualnego podjęcia kroków diagnostycznych w celu ustalenia przyczyny bólu.
32,"Częste oddawanie moczu, pieczenie, stan podgorączkowy.",DO LEKARZA,DO LEKARZA,"Pacjent doświadcza objawów sugerujących możliwe problemy z układem moczowo-płciowym, wymagające diagnozy i leczenia przez specjalistę."
33,"Nasilający się ból kolana, obrzęk, ograniczenie ruchu.",DO LEKARZA,DO LEKARZA,"Pacjent doświadcza silnych objawów sugerujących możliwe uszkodzenie stawu lub chrząstki, które wymagają konsultacji z lekarzem ortopedą."
34,"Ból gardła, powiększone migdałki, gorączka.",DO LEKARZA,DO LEKARZA,Wskazuje na zakażenie dróg oddechowych i wymaga wizyty u lekarza.
35,"Nawracające bóle brzucha po posiłkach, wzdęcia.",DO LEKARZA,DO LEKARZA,"Objawy te mogą być sygnałem poważniejszego problemu z przewodem pokarmowym i wymagają konsultacji lekarskiej, aby wykluczyć bardziej niebezpieczne przyczyny."
36,"Wysypka skórna utrzymująca się kilka dni, świąd.",DO LEKARZA,DO LEKARZA,"Pacjent wymaga wizyty u lekarza z powodu trwającej wysypki skórnej i świądu, które mogą być objawami infekcji lub innej choroby."
37,"Ból w klatce piersiowej o charakterze kłującym, nasilający się przy ruchu.",DO LEKARZA,PILNE,"Objawy mogą wskazywać na ostrą chorobę sercowo-naczyniową lub inną ciężką chorobę, wymagającą niezwłocznego zapewnienia pacjentowi profesjonalnej opieki."
38,"Zawroty głowy przy zmianie pozycji, bez utraty przytomności.",DO LEKARZA,DO LEKARZA,Powyższe objawy mogą być sygnałem wad serca lub niepokoju nerwowego i wymagają dalszej diagnozy.
39,"Ból zęba nasilający się w nocy, obrzęk dziąsła.",DO LEKARZA,DO LEKARZA,Pacjent potrzebuje skonsultowania z dentystą ze względu na możliwe stan infekcyjny w jamie ustnej.
40,"Przewlekły kaszel u palacza, stopniowe pogorszenie tolerancji wysiłku.",DO LEKARZA,DO LEKARZA,Wymaga wizyty ze względu na stopniowe pogarszanie się stanu zdrowia i możliwość podstawowych problemów z oddechowymi.
41,Ból brzucha i biegunka utrzymujące się ponad tydzień.,DO LEKARZA,DO LEKARZA,"Utrzymanie bólu brzucha i biegunki przez więcej niż tydzień jest sygnałem, że problem nie powinien zostać pozostawiony bez udziału lekarskiego. Lekarz będzie mógł przeprowadzić dalsze badania i ustalić przyczynę objawów."
42,"Uczucie ucisku w klatce piersiowej przy wysiłku, ustępujące w spoczynku.",DO LEKARZA,DO LEKARZA,"Objawy mogą być symptomem choroby układu sercowo-naczyniowego lub innego powikłania, wymagających rozpoznania i ewentualnego leczenia przez specjalistę."
43,"Ból barku ograniczający ruch, bez urazu.",DO LEKARZA,DO LEKARZA,"Objawy sugerujące możliwe choroby stawów lub mięśni, wymagające badania i diagnozy przez lekarza specjalistę."
44,"Nasilające się zmęczenie, bladość skóry, zawroty głowy.",DO LEKARZA,DO LEKARZA,"Pacjent doświadcza ogólnego złego samopoczucia, co może być oznaką powikłania jakiegoś bardziej podstawowego problemu medycznego. Konieczna jest wizyta u lekarza, aby ustalić jego przyczynę."
45,"Problemy ze snem, przewlekłe napięcie i bóle głowy.",DO LEKARZA,DO LEKARZA,"Pacjent doświadcza przewlekłych problemów zdrowotnych, które wymagają zbadania przez specjalistę."
46,Ból nadgarstka utrzymujący się od kilku dni.,DO LEKARZA,DO LEKARZA,"Pacjent ma powtarzające się bóle, które mogą być objawem poważniejszej przyczyny, takiej jak choroba stawu lub nerwu."
47,"Ból stopy przy chodzeniu, bez urazu.",DO LEKARZA,DO LEKARZA,"Oznaki zapalenia lub uszkodzenia struktury kostki, może być konieczna wizyta lekarza specjalisty."
48,Utrata masy ciała bez zmiany diety.,DO LEKARZA,DO LEKARZA,"Wstrząs utraty masy ciała wymaga skonsultowania z lekarzem, aby wykluczyć przyczyny podstawowe."
49,Nawracające infekcje górnych dróg oddechowych.,DO LEKARZA,DO LEKARZA,"Pacjent wymaga wizyty lekarza z powodu nawracających infekcji, co może być sygnałem dla podjęcia dodatkowych badań lub zmiany leczenia."
